ensemble_score,alerts,severity
-4.744840388653957,4.0,Low
-2.861922018597814,17.0,Low
-1.367355992291661,26.0,Medium
7.5610184263484825,32.0,High
13.457838690783294,38.0,High
7.811911178042196,44.0,High
-4.956328278516025,53.0,Low
-0.7954586213810175,64.0,Medium
3.3428421743648364,72.0,Medium
0.5423669821040944,80.0,Medium
-2.7365653650028405,87.0,Low
-25.07767809083291,95.0,Low
-6.465177034924712,102.0,Low
-14.90392205521891,114.0,Low
-4.344022058270659,124.0,Low
-6.444147950909824,130.0,Low
1.4918801630275556,136.0,Medium
2.9814004553096627,142.0,Medium
-1.799095596478672,148.0,Low
12.429093108202736,154.0,High
-4.739611681531146,160.0,Low
-4.467570785687645,173.0,Low
5.035944741986469,186.0,Medium
0.30742076361349474,194.0,Medium
-3.072847012875764,200.0,Low
1.5809636526363233,209.0,Medium
3.2252822279231874,215.0,Medium
-0.5505210572940955,221.0,Medium
8.773377604510102,235.0,High
4.187054890276699,241.0,Medium
8.124286487414153,247.0,High
11.657487697054659,254.0,High
6.148922610308441,262.0,High
5.978807444597994,270.0,High
4.514715892626565,276.0,Medium
5.698513578961579,282.0,High
6.405794040514738,288.0,High
1.970363829638281,294.0,Medium
14.224716439654141,300.0,High
3.257314279009618,306.0,Medium
-17.466812572314048,313.0,Low
4.519863213183203,321.0,Medium
5.182718941332614,327.0,Medium
3.1898164007442276,333.0,Medium
-8.563807787488185,342.0,Low
10.783288159014496,350.0,High
-26.219424221299384,356.0,Low
-3.071074939892965,362.0,Low
-2.886440335248199,373.0,Low
-3.4518223642093746,382.0,Low
-10.436914410565583,393.0,Low
-0.682649282239177,399.0,Medium
20.369319421170438,405.0,High
8.304534671999736,414.0,High
1.321618789889132,420.0,Medium
-0.7710141511661737,426.0,Medium
-1.0382580438358484,432.0,Medium
-2.4091238397342845,439.0,Low
3.165952441241054,445.0,Medium
-3.8227238961917944,451.0,Low
-10.33942534234353,459.0,Low
-23.28769449021646,472.0,Low
2.283723807360447,483.0,Medium
-6.905752205823151,489.0,Low
5.323445693804528,497.0,High
9.279350969530865,503.0,High
5.977092085863869,509.0,High
10.441685241152562,515.0,High
0.6511003767269058,521.0,Medium
0.32614527647665864,528.0,Medium
0.779787259508882,534.0,Medium
7.287483180834565,540.0,High
15.351884545733249,546.0,High
17.44194374144247,552.0,High
-2.2871241212589486,558.0,Low
2.960385614611417,566.0,Medium
6.199231838061123,572.0,High
-8.126699104092808,578.0,Low
-1.8754136773807686,584.0,Low
11.539798783709307,596.0,High
21.565744141985682,602.0,High
7.692473637606415,608.0,High
-6.502541216443265,614.0,Low
1.8848486067073595,620.0,Medium
-3.9347949647647953,626.0,Low
1.0904847570674696,632.0,Medium
-0.35426453034708444,638.0,Medium
3.9914758409755606,644.0,Medium
8.443585738207604,650.0,High
10.937428850390228,656.0,High
6.832601405169284,667.0,High
-0.3213445794803714,673.0,Medium
